Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Byrnes,John,William,,,06/12/1913,01/12/1985,M,U.S. Representative,Republican,WI,8,01/03/1945,01/03/1973,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Cain,Harry,Pulliam,,,01/10/1906,03/03/1979,M,U.S. Senator,Republican,WA,,01/03/1947,01/03/1953,Not specified,White,Bachelor's degree,Business or banking,Public service/politics,,,,Army,,
Camp,Albert,Sidney,,,07/26/1892,07/24/1954,M,U.S. Representative,Democrat,GA,4,01/03/1945,07/24/1954,Methodist,White,Professional degree,Law,,,,,Army,,
Canfield,Gordon,,,,04/15/1898,06/20/1972,M,U.S. Representative,Republican,NJ,8,01/03/1945,01/03/1961,Reformed Church,White,Professional degree,Congressional Aide,Journalism,Law,,,Army,,
Cannon,Clarence,Andrew,,,04/11/1879,05/12/1964,M,U.S. Representative,Democrat,MO,9,01/03/1945,05/12/1964,Baptist,White,Professional degree,Congressional Aide,Education,Law,,,Did not serve,,
Capehart,Homer,Earl,,,06/06/1897,09/03/1979,M,U.S. Senator,Republican,IN,,01/03/1945,01/03/1963,Lutheran,White,High School graduate,Business or banking,,,,,Army,,
Capper,Arthur,,,,07/14/1865,12/19/1951,M,U.S. Senator,Republican,KS,,01/06/1943,01/03/1949,Not specified,White,High School graduate,Business or banking,Journalism,,,,Did not serve,,
Carroll,John,Albert,,,07/30/1901,08/31/1983,M,U.S. Representative,Democrat,CO,1,01/03/1947,01/03/1951,Protestant,White,Professional degree,Law,,,,,Army,,
Carson,Henderson,Haverfield,,,10/25/1893,10/05/1971,M,U.S. Representative,Republican,OH,16,01/03/1947,01/03/1949,Presbyterian,White,Professional degree,Education,Law,,,,Army,,
Case,Clifford,Philip,,,04/16/1904,03/05/1982,M,U.S. Representative,Republican,NJ,6,01/03/1945,08/16/1953,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,
Case,Francis,Higbee,,,12/09/1896,06/22/1962,M,U.S. Representative,Republican,SD,2,01/03/1945,01/02/1951,Methodist,White,Bachelor's degree,Journalism,,,,,Marine Corps and Reserve,,
Celler,Emanuel,,,,05/06/1888,01/15/1981,M,U.S. Representative,Democrat,NY,15,01/03/1923,01/02/1953,Jewish,White,Professional degree,Law,,,,,Did not serve,,
Chadwick,E.,Wallace,,,01/17/1884,08/18/1969,M,U.S. Representative,Republican,PA,7,01/03/1947,01/03/1949,Not specified,White,Professional degree,Business or banking,Law,,,,Did not serve,,
Chapman,Virgil,Munday,,,03/15/1895,03/08/1951,M,U.S. Representative,Democrat,KY,6,01/03/1945,01/03/1949,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Chavez,Dennis,,,,04/08/1888,11/18/1962,M,U.S. Senator,Democrat,NM,,01/03/1945,11/18/1962,Roman Catholic,Hispanic,Professional degree,Congressional Aide,Law,,,,Did not serve,,
Chelf,Frank,Leslie,,,09/22/1907,09/01/1982,M,U.S. Representative,Democrat,KY,4,01/03/1945,01/03/1967,Presbyterian,White,Professional degree,Law,,,,,Army,,
Chenoweth,John,Edgar,,,08/17/1897,01/02/1986,M,U.S. Representative,Republican,CO,3,01/03/1945,01/03/1965,Baptist,White,Professional degree,Law,,,,,Did not serve,,
Chiperfield,Robert,Bruce,,,11/20/1899,04/09/1971,M,U.S. Representative,Republican,IL,15,01/03/1939,01/02/1949,Congregationalist,White,Professional degree,Law,,,,,Did not serve,,
Church,Ralph,Edwin,,,05/05/1883,03/21/1950,M,U.S. Representative,Republican,IL,10,01/03/1943,01/02/1949,Methodist,White,Professional degree,Law,,,,,Navy Reserve,ROTC,
Clark,Jerome,Bayard,,,04/05/1882,08/26/1959,M,U.S. Representative,Democrat,NC,7,01/03/1945,01/03/1949,Presbyterian,White,Professional degree,Business or banking,Law,,,,Did not serve,,
Clason,Charles,Russell,,,09/03/1890,07/07/1985,M,U.S. Representative,Republican,MA,2,01/03/1945,01/03/1949,Not specified,White,Master's degree,Education,Law,Public service/politics,,,Army,,
Clements,Earle,C.,,,10/22/1896,03/12/1985,M,U.S. Representative,Democrat,KY,2,01/03/1945,01/06/1948,Not specified,White,High School graduate,Agriculture,Business or banking,Public service/politics,,,Army,,
Clevenger,Cliff,,,,08/20/1885,12/13/1960,M,U.S. Representative,Republican,OH,5,01/03/1945,01/03/1959,Not specified,White,High School graduate,Business or banking,,,,,Did not serve,,
Clippinger,Roy,,,,01/13/1886,12/24/1962,M,U.S. Representative,Republican,IL,24,11/06/1945,01/03/1949,Methodist,White,High School graduate,Business or banking,Journalism,,,,Did not serve,,
Coffin,Howard,Aldridge,,,06/11/1877,02/28/1956,M,U.S. Representative,Republican,MI,13,01/03/1947,01/03/1949,Not specified,White,Bachelor's degree,Business or banking,Education,,,,Did not serve,,
Cole,Albert,McDonald,,,10/13/1901,06/05/1994,M,U.S. Representative,Republican,KS,1,01/03/1945,01/03/1953,Not specified,White,Professional degree,Business or banking,Law,,,,Did not serve,,
Cole,William,Clay,,,08/29/1897,09/23/1965,M,U.S. Representative,Republican,MO,3,01/03/1945,01/03/1949,Not specified,White,Professional degree,Law,,,,,Navy,,
Cole,William,Sterling,,,04/18/1904,03/15/1987,M,U.S. Representative,Republican,NY,39,01/03/1945,01/02/1953,Presbyterian,White,Professional degree,Education,Law,,,,Navy Reserve,,
Colmer,William,Meyers,,,02/11/1890,09/09/1980,M,U.S. Representative,Democrat,MS,6,01/03/1933,01/08/1963,Methodist,White,Professional degree,Education,Law,,,,Army,,
Combs,Jesse,Martin,,,07/07/1889,08/21/1953,M,U.S. Representative,Democrat,TX,2,01/03/1945,01/03/1953,Not specified,White,Bachelor's degree,Law,,,,,Did not serve,,
Connally,Thomas,Terry,,,08/19/1877,10/28/1963,M,U.S. Senator,Democrat,TX,,01/03/1945,01/03/1953,Not specified,White,Professional degree,Law,,,,,Army,,
Cooley,Harold,Dunbar,,,07/26/1897,01/15/1974,M,U.S. Representative,Democrat,NC,4,01/03/1945,12/30/1966,Baptist,White,Professional degree,Law,,,,,Navy Air Corps,,
Cooper,Jere,,,,07/20/1893,12/18/1957,M,U.S. Representative,Democrat,TN,9,01/03/1929,01/03/1953,Presbyterian,White,Professional degree,Law,,,,,National Guard,,
Cooper,John,Sherman,,,08/23/1901,02/21/1991,M,U.S. Senator,Republican,KY,,01/03/1947,01/03/1973,Baptist,White,Professional degree,Law,,,,,Army,,
Corbett,Robert,James,,,08/25/1905,04/25/1971,M,U.S. Representative,Republican,PA,30,01/03/1945,01/02/1953,Presbyterian,White,Master's degree,Congressional Aide,Education,Law Enforcement,,,Did not serve,,
Cordon,Guy,,,,04/24/1890,06/08/1969,M,U.S. Senator,Republican,OR,,01/03/1945,01/03/1955,Not specified,White,High School graduate,Law,Real Estate,,,,Army,,
